Sale_ID,Customer_ID,Product_ID,Sale_Date,Sale_Quantity,Sale_Price,Sale_Currency,Sale_Channel,Sale_Status,Sale_Commission,Sale_Profit
1,5,12,2022-01-15,2,99.99,USD,Online,Completed,10.00,20.00
2,9,7,2021-06-30,1,149.99,USD,Retail Store,Completed,15.00,30.00
3,3,14,2020-11-12,3,79.99,USD,Online,Cancelled,8.00,15.00
4,12,3,2022-03-20,1,199.99,USD,Retail Store,Completed,20.00,40.00
5,1,9,2021-09-07,2,89.99,USD,Online,Completed,9.00,18.00
6,8,5,2020-04-25,1,129.99,USD,Retail Store,Completed,13.00,26.00
7,14,11,2022-07-01,4,59.99,USD,Online,Completed,6.00,12.00
8,2,6,2021-11-18,1,169.99,USD,Retail Store,Completed,17.00,34.00
9,7,13,2020-02-03,2,99.99,USD,Online,Cancelled,10.00,20.00
10,11,4,2022-05-12,3,79.99,USD,Retail Store,Completed,8.00,15.00
11,6,2,2021-01-29,1,219.99,USD,Online,Completed,22.00,44.00
12,15,8,2020-08-06,2,109.99,USD,Retail Store,Completed,11.00,22.00
13,4,1,2022-09-21,1,249.99,USD,Online,Completed,25.00,50.00
14,13,10,2021-04-14,2,89.99,USD,Retail Store,Completed,9.00,18.00
15,10,15,2020-12-23,1,139.99,USD,Online,Completed,14.00,28.00
16,18,3,2022-02-08,3,199.99,USD,Retail Store,Completed,20.00,40.00
17,16,7,2021-07-17,1,149.99,USD,Online,Completed,15.00,30.00
18,19,12,2020-10-29,2,99.99,USD,Retail Store,Completed,10.00,20.00
19,17,6,2022-04-03,1,169.99,USD,Online,Completed,17.00,34.00
20,20,9,2021-12-12,2,89.99,USD,Retail Store,Completed,9.00,18.00
