Market_Trend_ID,Product_Group_ID,Time_Period,Market_Trend_Value,Market_Trend_Forecast
1,1,2022-Q1,0.85,0.90
2,1,2022-Q2,0.90,0.88
3,1,2022-Q3,0.92,0.92
4,1,2022-Q4,0.95,0.93
5,2,2022-Q1,0.80,0.85
6,2,2022-Q2,0.85,0.82
7,2,2022-Q3,0.88,0.90
8,2,2022-Q4,0.92,0.88
9,3,2022-Q1,0.75,0.80
10,3,2022-Q2,0.82,0.78
11,3,2022-Q3,0.85,0.85
12,3,2022-Q4,0.88,0.82
13,4,2022-Q1,0.78,0.82
14,4,2022-Q2,0.82,0.80
15,4,2022-Q3,0.85,0.85
16,4,2022-Q4,0.88,0.82
17,5,2022-Q1,0.82,0.85
18,5,2022-Q2,0.85,0.82
19,5,2022-Q3,0.88,0.90
20,5,2022-Q4,0.92,0.88
